review_id,product_id,product_title,category,rating,review_title,review_text,helpful_vote,price,timestamp,data_source
r00001,B0DEMO0001,HydraPeak Pro Insulated Water Bottle 24oz - Leak-Proof Tumbler with Straw Lid,Water Bottles / Tumblers,2,Plastic smell won't go away,"There's a chemical taste in every sip. I've boiled it, baked it, vinegar-soaked it. Still there.",27,29.99,1747667300095,synthetic_demo
r00002,B0DEMO0001,HydraPeak Pro Insulated Water Bottle 24oz - Leak-Proof Tumbler with Straw Lid,Water Bottles / Tumblers,5,Exactly what I needed,Bought two more for my kids. The straw lid is convenient and the handle feels sturdy.,24,29.99,1770626652894,synthetic_demo
r00003,B0DEMO0001,HydraPeak Pro Insulated Water Bottle 24oz - Leak-Proof Tumbler with Straw Lid,Water Bottles / Tumblers,4,Great quality for the price,"Great value. Cold for 20+ hours on road trips, and the powder coat still looks new.",10,29.99,1739645410126,synthetic_demo
r00004,B0DEMO0001,HydraPeak Pro Insulated Water Bottle 24oz - Leak-Proof Tumbler with Straw Lid,Water Bottles / Tumblers,5,Exactly what I needed,Perfect size for the gym and it fits my car holder. Colors look even better in person.,23,29.99,1786767712792,synthetic_demo
r00005,B0DEMO0001,HydraPeak Pro Insulated Water Bottle 24oz - Leak-Proof Tumbler with Straw Lid,Water Bottles / Tumblers,5,Holds up great,"Great value. Cold for 20+ hours on road trips, and the powder coat still looks new. Highly recommend.",21,29.99,1752414628205,synthetic_demo
r00006,B0DEMO0001,HydraPeak Pro Insulated Water Bottle 24oz - Leak-Proof Tumbler with Straw Lid,Water Bottles / Tumblers,5,Keeps water cold all day,Bought two more for my kids. The straw lid is convenient and the handle feels sturdy.,17,29.99,1734419830859,synthetic_demo
r00007,B0DEMO0001,HydraPeak Pro Insulated Water Bottle 24oz - Leak-Proof Tumbler with Straw Lid,Water Bottles / Tumblers,5,Best bottle I've owned,Keeps my water ice cold through my entire shift. The lid seals perfectly so far.,23,29.99,1739988653120,synthetic_demo
r00008,B0DEMO0001,HydraPeak Pro Insulated Water Bottle 24oz - Leak-Proof Tumbler with Straw Lid,Water Bottles / Tumblers,4,Great quality for the price,"Three months in and no leaks, no dents. Washing it is quick and easy. Gifted one to my sister and she loves it.",16,29.99,1735474368934,synthetic_demo
r00009,B0DEMO0001,HydraPeak Pro Insulated Water Bottle 24oz - Leak-Proof Tumbler with Straw Lid,Water Bottles / Tumblers,3,Not as insulated as claimed,"My coffee is lukewarm by the time I get to work. The insulation is just not there. It started fine, then problems showed up quickly.",51,29.99,1746554949176,synthetic_demo
r00010,B0DEMO0001,HydraPeak Pro Insulated Water Bottle 24oz - Leak-Proof Tumbler with Straw Lid,Water Bottles / Tumblers,1,Straw hole drips constantly,"No matter what I do, it leaks around the threads. Tried three different gaskets, still wet. It started fine, then problems showed up quickly. I really wanted to love this.",47,29.99,1756462949243,synthetic_demo
